# annotation output: TYPE x y w h
NEURON	794	1172	500	500
NEURON	306	1198	500	500
NEURON	620	257	500	500
NEURON	1571	584	500	500
NEURON	353	1964	500	500
NEURON	1694	1126	500	500
NEURON	2054	2490	500	500
NEURON	1326	3378	500	500
NEURON	791	3543	500	500
NEURON	179	3531	500	500
NEURON	1004	4167	500	500
NEURON	806	5073	500	500
NEURON	410	5334	500	500
NEURON	587	5928	500	500
NEURON	1337	5940	500	500
NEURON	1406	5283	500	500
NEURON	1262	6348	500	500
NEURON	1532	6783	500	500
NEURON	89	6849	500	500
NEURON	377	7257	500	500
NEURON	626	7611	500	500
NEURON	845	8439	500	500
NEURON	1259	8214	500	500
NEURON	1331	8748	500	500
NEURON	1178	9183	500	500
NEURON	401	9474	500	500
NEURON	1304	9582	500	500
NEURON	1301	10197	500	500
NEURON	932	10611	500	500
NEURON	1478	10992	500	500
NEURON	2105	4934	500	500
NEURON	2279	2027	500	500
NEURON	2324	9899	500	500
NEURON	2192	10712	500	500
NEURON	1865	9887	500	500
NEURON	1526	4301	500	500
NEURON	2159	5978	500	500
NEURON	2018	6509	500	500
NEURON	2120	7925	500	500
NEURON	2651	7577	500	500
NEURON	3008	6731	500	500
NEURON	2537	5975	500	500
NEURON	3032	5441	500	500
NEURON	3254	4904	500	500
NEURON	3062	3950	500	500
NEURON	2882	2732	500	500
NEURON	3245	2336	500	500
NEURON	2549	2192	500	500
NEURON	2747	1403	500	500
NEURON	3581	1634	500	500
NEURON	3863	2669	500	500
NEURON	3626	3416	500	500
NEURON	3455	4553	500	500
NEURON	4133	4961	500	500
NEURON	4187	4382	500	500
NEURON	4070	5531	500	500
NEURON	4133	6032	500	500
NEURON	3638	7217	500	500
NEURON	3731	7445	500	500
NEURON	4043	7313	500	500
NEURON	3449	8423	500	500
NEURON	2882	8627	500	500
NEURON	4010	8873	500	500
NEURON	3299	10436	500	500
NEURON	4322	11339	500	500
NEURON	4145	11372	500	500
NEURON	4850	11297	500	500
NEURON	4268	10847	500	500
NEURON	4526	10571	500	500
NEURON	5093	10766	500	500
NEURON	4667	8921	500	500
NEURON	5636	8219	500	500
NEURON	5180	8123	500	500
NEURON	5270	4076	500	500
NEURON	5219	5930	500	500
NEURON	5498	983	500	500
NEURON	6611	2234	500	500
NEURON	6773	3092	500	500
NEURON	7223	3707	500	500
NEURON	6683	4484	500	500
NEURON	7301	4952	500	500
NEURON	7544	7454	500	500
NEURON	6293	7232	500	500
NEURON	7427	8042	500	500
NEURON	7586	8387	500	500
NEURON	6134	9521	500	500
NEURON	7673	10889	500	500
NEURON	7106	11351	500	500
NEURON	7832	11297	500	500
NEURON	8228	11180	500	500
NEURON	8507	11537	500	500
NEURON	8669	10940	500	500
NEURON	8717	9674	500	500
NEURON	9269	7349	500	500
NEURON	8483	7214	500	500
NEURON	9547	6842	500	500
NEURON	9088	5714	500	500
NEURON	8653	5027	500	500
NEURON	8260	4451	500	500
NEURON	8965	4562	500	500
NEURON	9292	4034	500	500
NEURON	9434	10798	500	500
NEURON	5846	11602	500	500
NEURON	6962	7142	500	500
NEURON	7706	2006	500	500
NEURON	5950	1658	500	500
NEURON	3546	1290	500	500
NEURON	1870	4674	500	500
NEURON	4410	7066	500	500
NEURON	2158	7462	500	500
NEURON	4014	8150	500	500
NEURON	54	10130	500	500
NEURON	2420	4150	500	500
NEURON	7360	7190	500	500
NEURON	2780	11200	500	500
